,Category,Tweet
41,fire,"4-27-17  Westlake District DTLA, LAFD o/s Major Emergency structure fire at Bonnie Brae St x Wilshire Blvd  2 story Victorian and 4 story vacant apartment, fully involved. #structurefire #lafd #lafdpso #joinlafd #uflaclocal112 #dragon #westlakedistrict #fire #firefighters #chiefmiller #firefighters_daily #taskforce10 #dtla #majoremergency #apartmenthousefire #buildingfire #batt11 #losangelesfiredepartment #firephotography #rickmcclurephotography #firephotographer"
42,fire,"Bronx - 653 Crotona Park North
4 alarm fire that burned the 3rd, 4th, 5th & 6th floors of a building.
__________________________
#NewYorkCity #NewYork #NYC #NY #NYPD #FDNY #FDNYEMS #Emergency #Police #EMS #Ambulance #FireTruck #PoliceCar #EmergencyResponse #TheBronx #Bronx #BX #Fire #BuildingFire #StructureFire #BronxLebanon"
43,fire,My forest is on fire tonight. The sun is setting in its green lushness. #sunset #forest #myforest #mybedroomview #aroomwithaview #weatherwitch #skylover #forrestfire #fireintheforest #goingtobed #sunisgoingtobed #greenery #greenery🌿 #green #goldengreen #goldensky #goldandgreen
44,fire,"Share please! Piedmont need help from Europe. Our mountains are destroying buy fire
#help#piedmont#piemonte#italy#fire#awfulsituation#horrible#mountain#distroy#sos#burning#valsusa#destruction#need#volounteers#firmen#from#europe"
45,fire,"THE FIRE
#eastvillagefire #eastvillageexplosion #eastvillage #fire #secondavenue #e7thstreet #fdny #nybravest #gasleak #con-ed #smoke #manhattan #nyc #buildingcollapse #streetdreamsmag #iphoneonly #nofilter"
46,fire,#ForrestFire #SamsPoint #Minewaska
47,fire,"It could have been worse. It could have bounced into the woods.
#golf #golfing #golflife #golfcourse #golfclub #golfswing #golfers #golfstagram #golfer #fires #smokeythebear #firemen #forrestfire"
48,fire,"At least nine people were killed when three female suicide bombers struck in Madagali, Adamawa State, on Friday, a rescue agency has said.

The National Emergency Management Agency also confirmed that one of the three female suicide bombers died with a baby strapped on her back.
Read more on the blog. Link in bio. 
#security #security1656 #securitynews #securityupdates #securityinfo #securityforces #Nigeria #Adamawa #suicidebombing"
49,fire,"♦️برج مسکونی بیست و هفت طبقه در غرب لندن همچنان در حال سوختن است,در این شهر وضعیت فوق العاده اعلام شده است.

کانال ایرانیان انگلستان
🆔 @IranianUK_Org
#uk #england #london #fire #firefighter #building #buildingfire"
50,fire,"💖 Firefighters 💖
This happening now near Fort St.John BC. Canada. Forrest fire season has started in North America. Pretty early this time of year. Usually mid May this happens. May God protect All the Firefighters around the world as they start to battle against raging fires. May you all be Blessed with strength and courage and peace knowing you are protecting not just wild life but all life. May you all be brought home safely. I am so Proud of you all 😇💖 You firefighters are Awesome and so Loved and appreciated by not just your families but by Everyone. I appreciate you and Thank you for your time 💜 I Love you all 💖

#canadagram #instagram #canada_gram #firefighter #firefighter_brotherhood #forrestfire #firefightersaroundtheworld #battle #forrestfireseason #firemen #wildlife #wildfires #wildlifeplanet #wild #blessed #love #hugs #strong #strength #courage #warriors # appreciated #awesome"
51,fire,"With an alarmingly increasing number of wildfires and an administration that is pushing for a bill that would do more harm than good, it’s time we see just how much the climate is changing around us. Click on the link in our bio to learn more about wildfire management. #ProjectEarth"
52,fire,"Nothing but #respect to all the firefighters and pilots fighting the wildfires out West. Stay safe out there!
.
.
.
From @jessgo4it
“In my 40 years of fighting fire I’ve never seen a fire behavior so extreme as it was yesterday,” Incident Commander- Mike Wakoski #bluecut #OldCajon #sbcofd
.
.
Video Credit: @jessgo4it"
53,fire,"Click the link in my bio and watch With Sounds (Pardon the Language) Please Read/Watch and SHARE 🙏🏼 @collinjoseph_fit •
-
TO DONATE $5 TEXT ""REDCROSS"" to 30333 applies to Canada •
-
God bless all the Fire fighters, Police officers and medical staff aiding in the Fort McMurray fires. 
#albertastrong"
54,fire,Heavy fire conditions at the 8th alarm in Waltham Sunday morning. #fire #firetruck #fireengine #buildingfire #waltham #walthamma #walthamfire #walthamfiredepartment #walthamfirefighters #eone #eonefiretrucks #chiefmiller #inferno #enginecompany #engine #enginecompanypride #canon7dmarkii
55,fire,"#RigginsFire  For the second summer in a row the town of Riggins is effected by fire. #PrayForRiggins.  #7Summer #ForrestFire 🔥Reminder if you are using sparklers, fireworks, or campfire at any event check local fire restrictions. #ThisIsIdaho #VisitIdaho #RigginsIdaho  #idahoinsta #idahome #idahogram #idaholife #idaho_insta  photo credit: @sscheline from IDOWED #IDoWED #SalmonRiver"
56,fire,"#dawn or #forrestfire ?
🌅 / 🔥🌳?"
57,fire,"FEATURE POST #Repost @osv375 
#califirefighters
・・・
Holcomb Valley | 6-20-17 | overnight footage of the #HolcombFire in Holcomb Valley, near Big Bear. At the time this was shot the fire was at 850 acres. It has since jumped to 1562 acres and 35% contained. Investigators are seeking the public's assistance on the cause of the fire. 
#onscenetv #newsphotog #tvnewsphotog #stringer #nightcrawler #structurefire #wildfire #lucernevalley #news #breakingnews #brushfire #Forrestfire #wildlandfirefighters  #califirefighters #chiefmiller @chief_miller #fire #firefighters #CalFire #bigbearfire #sbcfd #avfd #Avfpd #bigbear #usforrestservice"
58,fire,SYRIA: 18 Killed and dozens injured after multiple car bombs detonate around the Syrian city of Deir al-Zor the Islamic State have claimed responsibility for the bombing #syria#bombing#terrorattack#news#terrorism
59,fire,The Hamilton fire service during an exercise a few months ago. #emergency #photojournalism #canon #hamiltonfire #nzfs #photography #buildingfire
60,fire,"Brooklyn going to work K!
.
TAG your crew! Pick your roofman and a nozzleman and let's go"
61,fire,"511 #fire, a third of #chicago #firedepartment deployed, brought a good camera but forgot my memory card. Whatever. #bridgeport, #southside, #itsfuckingcoldout, #instagood, #buildingcollapse, another piece of Chicago #history bites the dust. #shittycellphonepicturesofawesomethings"
62,fire,"Motivation for your Monday! Double TAP
.
""Never give up, and be confident in what you do. There may be tough times, but the difficulties which you face will make you more determined to achieve your objectives and to win against all the odds."" -Marta
.
.
Scenes from Raleigh, North Carolina's 5th Alarm last week!
.
.
#ffprovinggrounds
Photo Credit: Eric Debrah"
63,fire,"My heart aches for all the people affected by the nation's fires this season - both close to home and far away. The harrowing stories of the first responders and volunteers who put their lives in danger to save lives and homes are truly inspiring. And the stories from the victims gives me goosebumps (6 hours in a bone chilling pool to survive while everything around you melts?! Really?! And Izzy??? 😭).
//
On a personal note, it's been saddening to see many places I have found solace in over the years go up in flames. It wasn't until this last weekend that we smelled what typically is a happy campfire scent along our hike that it became real. After we got back to the trailhead under the aid of our headlamps and started the journey home in the dark, we saw miles of hillside lit up in flames along this FS road. While this one is ""contained"" it is truly eery to see entire hillsides ablaze, trees burning and the ground smoldering. //
Sending good thoughts and prayers to all of those affected by these crazy natural (and unfortunately some manmade) disasters. ✌🏽❤️🙏🏽"
64,fire,God bless those to the north of us. Much respect and gratitude to the people out there fighting on the front lines. 🙏🏼🙏🏼🙏🏼 #Fire #Firefighters #Norcal #NorthernCalifornia #Clearlake #Mendocino #Lake #Sonoma #Napa #SantaRosa #SanFrancisco #Oakland #BayArea #California #WestCoast #America #UnitedStates #USA #Fight #Tragedy #NaturalDisaster #news #atlasfire #tubbsfire #pray #faith #bless #love #charity #soldiers
65,fire,Fire in Alberta #fire#alberta#highway#highway63#fortmac#fortmcmurray#forrestfire
66,fire,"Dry conditions and high winds spread flames quickly in #wine regions of Spain and Portugal last week, taking several lives and scorching properties including #wineries and vineyards. | Link in bio. | 📸 : Goncalo Delgado."
67,fire,"#Repost @cannaclear_natural_euphoria (@get_repost)
・・・
We Love Our Community!!!! It’s a powerful energy bringing everyone together I’m proud to see everyone willing to give and help. @cannaclear_natural_euphoria we are about compassion and healing so let’s rebuild and help our people who have lost too much! #SONOMASTRONG #santarosafires #compassion #love #community #cultivation #naturaldisaster #heal #medicinal #707
#710 #420"
68,fire,"#terriblefire #plascobuilding#nostalgia#tragedy#buildingcollapse
30/10/95"
69,fire,#buildingcollapse or #fire downtown #nyc
70,fire,"#workingfire earlier on the 7800 block Ney. Crews arrived with fire showing from the second floor of a 4-plex. Engines 23,26,29,20, Truck 7, Battalion 3. #oakland #fire #buildingfire #local55 @bayareafirefighter  @californiafirefighter @californiafireman @chief_miller #aggressiveattack #interiorattack #topsideventilation #truckops #engineops"
71,fire,East Windsor township fire departments along with multiple mercer and middlesex counties fire on scene of a 2nd alarm apartment structure fire on oak Creek road and Hickory Corner road. Link on bio for full video. 🚑🚔🚒🚨 #eastwindsornjpolice #eastwindsornjfire #eastwindsornj #hightstown #police #mercercountynj #firefighter #firefighters #buildings #buildingfire #mercercountynj #apartment #eastwindsornjpolice
72,fire,Destroyed house after shelling in Debalcevo. east Ukraine. photo by @romanpilipey / @epaphotos  #photojournalism #war #shelling #fire #donetskregion #destroyedbuilding #epa #eastukraine #debalcevo #smoke
73,fire,"Breaking News: #LAFD battling a #MajorEmergency #CommercialFire in the #Downtown #FashionDistrict area of #LosAngeles #LosAngelesFire #Firefighters #BuildingFire #LACityFire #LAFDpix #LosAngelesFireDepartment

Photo is from @brttnylyd"
74,fire,Beautiful sunset flying over a huge forrest fire west of Deland #forrestfire #dmearc #ils #kdab #c172 #g1000 #avgeek #aviation #instapilot #givemethathotdog
75,fire,"High winds, dry conditions and exceptionally intrusive sunlight are the evil forest fire trio here in Casablanca, Chilè #forrestfire #chile No #drone #please No #aerial #porfavor"
76,fire,Uh. The hills on fire.
77,fire,"#forrestfire #fire #clearing
clearing the area for sugar canes"
78,fire,Building fire 🔥#travel #traveling #vacation #visiting #instatravel #instago #instagood #trip #holiday #photooftheday #fun #travelling #tourism #tourist #instapassport #instatraveling #mytravelgram #travelgram #travelingram #igtravel#camping#firecamp#buildingfire#🔥#camp#sunset
79,fire,A surreal photo of the fire in Glendale from my porch in Studio City. #lafire #glendale #studiocity #fire #flames #smoke #hollywood #lalife #forrestfire
80,fire,#ForrestFire #Portugal shit is crazy
81,fire,#prayforgatlinburg #prayfortennessee #unfortunateevent #greatpicturethough #smokymountains #forrestfire
82,fire,"Well,there goes the neighbourhood... Lost everything.. Still not under control but me and my family are safe. I will never forget the terror of today. Literally driving through flames.. So scary, but so very thankful to God were alive. #fire #fortmcmurray #lost #gone #flames #terror #scared #heartbroken #crazy #help #forrestfire #wildfire #everythinggone #besafe"
83,fire,this image breaks my heart and the smoke is making it difficult to breath #gorgefire #forrestfire #frustrated
84,fire,"B/Haram: Teenage girl bombers kill 30, injure 57 in Adamawa
ABOUT 30 people were killed by suspected teenage female suicide bombers who infiltrated Madagali market in the Madagali Local Government Area of Adamawa State.
Visit the page for full news. Link in bio.
#securitynews #security1656 #securityupdates #bokoharam #suicidebombing #terrorism #nigeria"
85,fire,#lifeisstrangegame #night #forrestfire
86,fire,"Prayers go out to Fort Mac!🙏🏼
NEW TRACK coming out SOON!☝🏼️
DEDICATED to the struggling people out there that suffered from the flames.🔥😐 STAY TUNED!💯🎤
#FortMacStrong #FortMac #track #single #new #comingsoon #grind #music #hiphop #struggle #fire #flames #people #dedicated #prayers #ashes #forrestfire #staystrong #help"
87,fire,Looks like Mount Doom from Lord of the Rings huh? I wish it was...instead it's the local Forrest fire that bloomed this weekend and looks to be getting worse by the hour. #pnw #forrestfire #columbiariver #prayersforfirefighters #prayingforrain
88,fire,"God Bless and Protect our @bostonfire fighters. 
#fire #buildingfire #firefighters 
#charlestown  #boston #bostonfire #hometown #cradleofliberty #igersboston #igersma #igersusa #igersnewengland #scenesofma #scenesofnewengland #bostondotcom #igersbostonfox25 #followingboston #narcityboston  #local718"
89,fire,#lifeisstrangegame #night #forrestfire
90,fire,"""For we know that if the tent that is our earthly home is destroyed, we have a building from God, a house not made with hands, eternal in the heavens."" - 2 Corinthians 5:1.
.
I don't know why these things happen: forest fires, hurricanes, earthquakes, tornados.. but I do know that this is our temporary home. I know that possessions are material items that can be replaced, and I pray for faith in that fact during times like these. I pray for understanding. Our beautiful state is engulfed in flames. The hikes and memories Heather and I have made since moving here are now even more precious and priceless. The fires are getting closer. Our schools aren't having recess due to the air quality and ash. Over 10,000 acres now. We're asking for prayers over Portland. We're asking for prayers over Houston, Florida, Idaho, Montana, & Utah. .
#pdx #pnw #portland #oregon #forrestfire"
91,fire,"When your family is out in eastern Montana fighting Forrest fires to save their livelihood, and you're stuck in Minnesota trying to find a way to cover work to get out there. 
Pictured: Eli Murnion (brother in-law)
#easternmontana #forrestfire #family #stateofemergency #montana #minnesota #raindance #ranchlife #fire #garfieldcounty #firefighter"
92,fire,"TAG your crew and let's go! What are your tactics?
.
Video Credit: @bcfd8x10"
93,fire,#Oman plays a key role in mediating for the #Yemencrisis & more top stories. #MorningMinute #qaboosbinsaid #mediator #peacemaker #peacetalks #peaceonearth
94,fire,"TABER FIRE DEPARTMENT ON SCENE OF AN OLD VIDEO STORE FIRE IN BARNWELL, ALBERTA. NOT SURE WHAT UNITS WERE ON SCENE CAUSE THIS PHOTO IS FROM ONE OF MY BUDDIES WHO ISNT ON INSTAGRAM. BUT IT DOES LOOK LIKE ENGINE 6-3 WAS THERE AS I CAN TELL FROM THE SHAPE AMD LIGHTS OF THE TRUCK. I ALSO KNOW ALBERTA HEALTH SERVICES AMBULANCE WAS ON SCENE 
#videostorefire #taberemergencyservices #barnwellalberta #taberfiredepartment #firefightingincanada #firefightersofcanada #firefightersofalberta #firetrucksofinstagram #firedepartment #volunteerfiredepartment #buildingfire #volunteerfirefighters #albertahealthservices #ambulance #fireman2017"
95,fire,@blades_black_and_white #blackandwhitephoto #blackandwhitephotography #burnt #fire #buildingfire #tabernaclestreet #stgeorge #highcontrast #highresolution
96,fire,"Ironic pic from building FIRE at NEO SOHO Apartemen, Central Park, West Jakarta. #ironic #fire #neosohokebakaran #neosohobridge #neosohomall #centralpark #westjakarta #jakartabarat #tanjungduren #cpmall #photooftheday #ironicpic #art #buildingfire #kebakaran"
97,fire,#forrestfire #zante2017 #sadnews
98,fire,"Numbers warning message....
Please like and comment
#YemenCrisis #StopWarOnYemen #KSA #USA #SaudiArabia #Terrorist @WHO_Yemen"
99,fire,Smoky sky strides up tunnel mt. with @alanab23 #mybanff #forrestfire #explorealberta
100,fire,Burn everything #bonfire #mans #fire #guyfawkes #no #need #to #chip #groundlord #stumps #brash #forrestfire #agriculture #farms #estate #work
101,fire,"“God is our refuge and strength, always ready to help in times of trouble. So we will not fear when earthquakes come and the mountains crumble into the sea. Let the oceans roar and foam. Let the mountains tremble as the waters surge! A river brings joy to the city of our God, the sacred home of the Most High. God dwells in that city; it cannot be destroyed. From the very break of day, God will protect it. The nations are in chaos, and their kingdoms crumble! God’s voice thunders, and the earth melts! The Lord of Heaven’s Armies is here among us; the God of Israel is our fortress. Come, see the glorious works of the Lord: See how he brings destruction upon the world. He causes wars to end throughout the earth. He breaks the bow and snaps the spear; he burns the shields with fire. “Be still, and know that I am God! I will be honored by every nation. I will be honored throughout the world.” The Lord of Heaven’s Armies is here among us; the God of Israel is our fortress.”
‭‭Psalms‬ ‭46:1-11‬ ‭NLT‬‬"
102,fire,"DAY 13 #EstivalSurvey - Back to Anchorage, Alaska

Even for a wordy SOB like me, it's hard to explain what we've been through the last 48 hours. We should've known camping next to a rusty torpedo that was attached to a dead tree like a gargoyle to an old church would be a sign of treachery to come. Still, we have managed to endure the smoke and flames of forrest fires, both figurative and literal, and we've rendezvoused with our crew in Anchorage along with our hot air balloon pilot, Mike. 
Tonight at 10:30 pm, we take flight.

#estivalsurvey #folkmagazine #passionpassport"
103,fire,Fire on the mountain. #Forrestfire #Burbank #California #mountain #fire #gratefuldead
104,fire,"#Repost @robiemarcella with @repostapp
・・・
God Bless and Protect our @bostonfire fighters. 
#fire #buildingfire #firefighters 
#charlestown  #boston #bostonfire #hometown #cradleofliberty #igersboston #igersma #igersusa #igersnewengland #scenesofma #scenesofnewengland #bostondotcom #igersbostonfox25 #followingboston #narcityboston  #local718"
105,fire,"Amazing to watch this beautiful place spring back to life after such a devastating fire🔥 
Join Mountain True, one of our nonprofit partners for 2017,  Saturday April 15th from 8:30-4 for a special wildfire and wildflower hike with Ecologist Bob Gale and Bioligist Josh Kelly. 📷 @ymckennaphoto"
106,fire,Corner of 9th and G street.... #fire in #downtownmodesto tonight. Thank you to our #firefighters for working hard to control the fire! #centralvalley #centralcalifornia #modestoca #buildingfire
107,fire,"Bronx - 653 Crotona Park North
4 alarm fire that burned the 3rd, 4th, 5th & 6th floors of a building.
__________________________
#NewYorkCity #NewYork #NYC #NY #NYPD #FDNY #FDNYEMS #Emergency #Police #EMS #Ambulance #FireTruck #PoliceCar #EmergencyResponse #TheBronx #Bronx #BX #Fire #BuildingFire #StructureFire"
108,fire,Not my photo but one of the better ones I've seen. This morning in #kansascitymo #kcmo #kansascityfire #kansascity #truckwork #flypipe #bigwater #buildingcollapse #structuralcollapse #collapse
109,fire,This one goes out to my little buddy Jase. Just a Crane making it rain. #canttakecreditforthisone #nofilter #aircrane #crane #rain #wildlandfirefighter #wildlandfire #wildlandfirefighting #junkinsfire #linemedic #empf #emt #paramedic #medic #colorado #mountains #sanisabelnationalforest #burnt #burn #smoke #heat #fire #tulsa #tulsaok #tulsafire #tfd #buildingfire #housefire #firedepartment #firefighter
