,Date,Course.Length,Program,Organization,City,ZIP.Code,County,Number.Classes,Number.Students,Students.White,Students.African.Am,Students.Latino,Students.Other
31,9/26/2016,0.5,Scrubby Bears,Village Park Community Center,Gurnee,60031,Lake,3,28,10,1,12,5
32,9/26/2016,2,"Adult CPR, Pediatric CPR and Choking",Bourbonnais Public Library,Kankakee,60619,Kankakee,1,17,17,0,0,0
33,9/26/2016,0.5,Scrubby Bears,Hunt Club Community Center ,Gurnee,60031,Lake,3,18,NA,NA,NA,NA
34,9/27/2016,1,Hands-only Citizen CPR,Burke Elementary,Chicago,60615,Cook,1,12,NA,12,NA,NA
35,9/27/2016,1,Hands-only Citizen CPR,Burke Elementary,Chicago,60615,Cook,1,13,NA,13,NA,NA
36,9/27/2016,1,Kid Firestopper,Burke Elementary,Chicago,60615,Cook,1,13,NA,13,NA,NA
37,9/27/2016,0.5,Kid Firestopper,Burke Elementary,Chicago,60615,Cook,1,26,NA,26,NA,NA
38,9/27/2016,0.5,Masters of Disaster,Burke Elementary,Chicago,60615,Cook,1,26,NA,26,NA,NA
39,9/27/2016,0.5,Scrubby Bears,Hunt Club Center,Gurnee,60031,Lake,4,72,20,2,0,48
40,9/27/2016,1.5,Pillowcase Project,Helen C Peirce School,Chicago,60660,Cook,1,31,NA,NA,NA,NA
41,9/27/2016,0.5,Hands-only Citizen CPR,Burke Elementary,Chicago,60615,Cook,1,12,NA,12,NA,NA
42,9/27/2016,0.5,Hands-only Citizen CPR,Burke Elementary,Chicago,60615,Cook,1,13,NA,13,NA,NA
43,9/27/2016,0.5,Kid Firestopper,Burke Elementary,Chicago,60615,Cook,1,26,NA,26,NA,NA
44,9/27/2016,0.5,Masters of Disaster,Burke Elementary,Chicago,60615,Cook,1,26,NA,26,NA,NA
45,9/27/2016,1,Kid Firestopper,Burke Elementary,Chicago,60615,Cook,1,13,NA,13,NA,NA
46,9/28/2016,3,FALP,Girls Scouts,Chicago,60618,Cook,1,25,20,2,3,0
47,9/28/2016,1,First Aid and CPR for Students,Edmond Burke Elementary School,Chicago,60615,Cook,1,21,0,21,0,0
48,9/28/2016,1,Hands-only Citizen CPR,Edmond Burke Elementary School,Chicago,60615,Cook,1,13,0,13,0,0
49,9/28/2016,0.5,Kid Firestopper,Edmond Burke Elementary School,Chicago,60615,Cook,1,17,0,17,0,0
50,9/29/2016,0.5,Scrubby Bears,Village Park Community Center,Gurnee,60031,Lake,2,18,2,0,16,0
51,9/29/2016,0.5,Scrubby Bears,Hearst Elementary School ,Chicago,60638,Cook,5,123,21,66,36,0
52,9/29/2016,1,Kid Firestopper,Shree Jalaram Mandir,Hoffman Estates,60169,Cook,1,7,NA,NA,NA,7
53,9/29/2016,0.5,Scrubby Bears,Hunt Club Community Center ,Gurnee,60031,Lake,2,29,NA,NA,NA,NA
54,10/1/2016,3,First Aid and CPR Certification,Greater St. John Bible Church,Chicago,60651,Cook,1,11,0,11,0,0
55,10/3/2016,2,Be Red Cross Ready,Aurora Emergency Management,Aurora,60505,Kane,1,28,10,2,2,14
56,10/3/2016,1,FALP,James Russell Lowell ,Chicago,60651,Cook,1,32,NA,NA,NA,NA
57,10/4/2016,2,FALP,Earle Elementary ,Chicago,60636,Cook,2,64,NA,64,NA,NA
58,10/4/2016,2,Masters of Disaster,Earle Elementary ,Chicago,60636,Cook,2,64,NA,64,NA,NA
59,10/5/2016,3,First Aid and CPR Certification,Aurora University Psychology Club,Aurora,60506,Kane,1,24,15,3,5,1
60,10/5/2016,0.5,Scrubby Bears,James Russell Lowell ,Chicago,60651,Cook,1,33,NA,NA,NA,NA
61,10/6/2016,1,Pillowcase Project,Girl Scouts,McHenry,60050,Lake,1,23,20,0,3,0
62,10/6/2016,0.5,Scrubby Bears,James Russell Lowell ,Chicago,60651,Cook,1,21,NA,NA,NA,NA
63,10/6/2016,1,AmeriCorps Presentation,West Park Academy ,Chicago,60651,Cook,1,31,NA,NA,NA,NA
64,10/7/2016,3,Scrubby Bears,Mark Twain Elementary ,Chicago,60638,Cook,3,57,NA,57,NA,NA
65,10/10/2016,5,First Aid and CPR Certification,AmeriCorps Project YES! ,Chicago,60612,Cook,1,17,NA,NA,NA,NA
66,10/11/2016,4,First Aid and CPR Certification,The Woodlawn Resource Center ,Chicago,60637,Cook,1,7,0,7,0,0
67,10/12/2016,3,First Aid and CPR Certification,CARA PROGRAM,Chicago,60621,Cook,1,16,1,16,0,0
68,10/13/2016,1,FALP,James Russell Lowell ,Chicago,60651,Cook,1,21,NA,NA,NA,NA
69,10/13/2016,1,FALP,West Park Academy ,Chicago,60651,Cook,1,31,NA,NA,NA,NA
70,10/14/2016,1,FALP,Franklin Elementary School,Dolton,60419,Cook,6,95,5,75,15,0
71,10/15/2016,1,CSD - Other,Saint Thomas Apostle Catholic Church,Chicago,60615,Cook,1,7,1,6,0,0
72,10/17/2016,2,First Aid and CPR Certification,Webster/Hansberry Child Parent Center ,Chicago,60624,Cook,1,4,0,4,0,0
73,10/17/2016,2,First Aid and CPR Certification,Webster/Hansberry Child Parent Center ,Chicago,60624,Cook,1,7,0,7,0,0
74,10/17/2016,0.5,Scrubby Bears,James Madison Elementary School,Chicago,60619,Cook,1,23,0,20,3,0
75,10/17/2016,1,Pillowcase Project,James Madison Elementary School,Chicago,60629,Cook,2,39,2,32,6,0
76,10/17/2016,0.5,Be Red Cross Ready,James Madison Elementary School,Chicago,60629,Cook,1,23,0,21,2,0
77,10/17/2016,1,Hands-only Citizen CPR,James Russell Lowell ,Chicago,60651,Cook,1,32,NA,NA,NA,NA
78,10/18/2016,3,First Aid and CPR Certification,Jen Care Neighborhood Medical Center,Chicago,60650,Cook,1,7,0,7,1,0
79,10/18/2016,2,First Aid and CPR Certification,Webster/Hansberry Child Parent Center ,Chicago,60624,Cook,1,7,0,7,0,0
80,10/18/2016,2,First Aid and CPR Certification,Webster/Hansberry Child Parent Center ,Chicago,60624,Cook,1,2,0,2,0,0
81,10/18/2016,2,First Aid and CPR Certification,Webster/Hansberry Child Parent Center ,Chicago,60624,Cook,1,1,0,1,0,0
82,10/18/2016,1,Kid Firestopper,Calumet City Public Library ,Calumet City ,60409,Cook,1,9,0,1,8,0
83,10/18/2016,0.5,Scrubby Bears,James Madison Elementary School,Chicago,60629,Cook,2,24,0,21,3,0
84,10/18/2016,1,Pillowcase Project,James Madison Elementary School,Chicago,60629,Cook,1,8,0,8,0,0
85,10/18/2016,0.5,Be Red Cross Ready,James Madison Elementary School,Chicago,60629,Cook,1,17,0,14,3,0
86,10/18/2016,3,Scrubby Bears,James Ward Elementary,Chicago,60616,Cook,3,89,NA,89,NA,NA
87,10/19/2016,0.5,Kid Firestopper,Oglesby Public Library,Oglesby,61348,Kankakee,1,0,NA,NA,NA,NA
88,10/19/2016,3,Scrubby Bears,James Ward Elementary,Chicago,60616,Cook,4,90,NA,90,NA,NA
89,10/20/2016,0.5,Home Fire Preparedness,Hearst Elementary School ,Chicago,60638,Cook,2,65,8,32,23,2
90,10/20/2016,0.5,Kid Firestopper,Hearst Elementary School ,Chicago,60638,Cook,2,99,12,48,34,5
91,10/20/2016,1.5,CSD - Other,Charles W Earle School,Chicago,60636,Cook,1,12,0,7,4,1
92,10/20/2016,0.5,Home Alone,Lake Park Elementary,Addison,60101,DuPage,1,20,2,NA,18,NA
93,10/20/2016,0.5,Home Alone,Lake Park Elementary,Addison,60101,DuPage,1,20,3,NA,17,NA
94,10/20/2016,0.5,Home Alone,Lake Park Elementary,Addison,60101,DuPage,1,18,1,NA,17,NA
95,10/20/2016,1,Pillowcase Project,Charles W. Earle School,Chicago ,60663,Cook,1,23,NA,NA,NA,NA
96,10/21/2016,5,First Aid and CPR Certification,AmeriCorps Asian Human Services,Chicago,60659,Cook,1,10,NA,NA,NA,NA
97,10/21/2016,2,Masters of Disaster,Mark Twain Elementary ,Chicago,60638,Cook,2,57,NA,57,NA,NA
98,10/21/2016,2,FALP,Mark Twain Elementary ,Chicago,60638,Cook,2,57,NA,57,NA,NA
99,10/21/2016,3,Scrubby Bears,Mark Twain Elementary ,Chicago,60636,Cook,3,55,NA,55,NA,NA
100,10/22/2016,4,"Adult CPR, Pediatric CPR and Choking",Bethel Chiristian Church,Chicago,60641,Cook,1,15,5,7,3,0
101,10/23/2016,2,First Aid and CPR for Students,St. Peters United Church,Chicago,60639,Cook,1,14,2,8,4,0
102,10/23/2016,3,First Aid and CPR Certification,American Red Cross,Saint Charles,60174,Kane,1,8,0,0,0,8
103,10/24/2016,1,Pillowcase Project,Boy Scout Den,Lockport,60441,Will,1,14,NA,NA,NA,NA
104,10/24/2016,0.5,Hands-only Citizen CPR,Grundy County 8th Grade Career Fair,Morris,60450,Grundy,3,108,NA,NA,NA,NA
105,10/24/2016,0.833333333,First Aid and CPR Certification,Theodore Roosevelt High School ,Chicago,60625,Cook,4,124,NA,NA,NA,NA
106,10/25/2016,1,Pillowcase Project,Nelson Elementary School,New Lenox,60451,Will,1,33,NA,NA,NA,NA
107,10/25/2016,1,CSD - Refugees,Care For Real ,Chicago,60640,Cook,1,30,0,0,0,30
108,10/26/2016,1,Pillowcase Project,White Oak Elementary YMCA after school,Morris,60450,Grundy,1,23,NA,NA,NA,NA
109,10/26/2016,1,Pillowcase Project,Franklin Elementary School,Dolton,60419,Cook,5,90,0,80,10,0
110,10/26/2016,5,"Adult CPR, Pediatric CPR and Choking",Veterans Upward Bound,Chicago,60603,Cook,1,5,NA,5,NA,NA
111,10/27/2016,0.5,Scrubby Bears,Woodbury Elementary School,Sandwich ,60548,DeKalb,8,176,NA,NA,NA,NA
112,10/27/2016,1,Hands-only Citizen CPR,Roosevelt High School,Chicago,60625,Cook,4,170,37,38,60,35
113,10/27/2016,1,Hands-only Citizen CPR,Dunne Technology Academy,Chicago,60628,Cook,1,34,8,14,8,4
114,10/27/2016,1,Kid Firestopper,Dunne Technology Academy,Chicago,60628,Cook,1,36,7,17,9,3
115,10/27/2016,1,Pillowcase Project,Dunne Technology Academy,Chicago,60628,Cook,1,38,5,16,11,6
116,10/27/2016,0.5,Home Alone,Lake Park Elementary,Addison,60101,DuPage,1,20,4,NA,16,NA
117,10/28/2016,1,Masters of Disaster,Helen C. Peirce School of International Studies ,Chicago,60660,Cook,1,15,5,5,5,0
118,10/28/2016,1,Pillowcase Project,Helen C. Peirce School of International Studies ,Chicago ,60660,Cook,1,15,10,5,0,0
119,10/28/2016,1,Hands-only Citizen CPR,Dunne Technology Academy,Chicago,60628,Cook,1,35,2,18,13,2
120,10/28/2016,1,Pillowcase Project,Dunne Technology Academy,Chicago,60628,Cook,1,22,0,12,8,2
121,10/28/2016,1,Kid Firestopper,Dunne Technology Academy,Chicago,60628,Cook,1,40,3,27,9,1
122,10/28/2016,1,Masters of Disaster,Helen C Peirce School,Chicago,60660,Cook,1,31,NA,NA,NA,NA
123,10/28/2016,1.5,Pillowcase Project,Helen C Peirce School,Chicago,60660,Cook,1,31,NA,NA,NA,NA
124,10/29/2016,4,First Aid and CPR Certification,Northwestern University Community Health Corps,Evanston ,60208,Cook,1,9,5,0,0,4
125,10/29/2016,5,First Aid and CPR Certification,Rogers Park Library,Chicago,60626,Cook,1,18,NA,NA,NA,NA
126,10/29/2016,5,"Adult CPR, Pediatric CPR and Choking",Northwestern University,Evanston,60208,Cook,1,17,10,1,4,2
127,10/31/2016,1,Kid Firestopper,James Russell Lowell ,Chicago,60651,Cook,1,32,NA,NA,NA,NA
128,11/1/2016,4,First Aid and CPR Certification,Saint Daniel the Prophet Church ,Chicago,60638,Cook,1,27,20,0,5,2
129,11/1/2016,5,"Adult CPR, Pediatric CPR and Choking",Coleman Parent University,Chicago,60609,Cook,1,7,NA,7,NA,NA
130,11/2/2016,0.75,FALP,Haines Elementary School,New Lenox ,60451,Will,1,47,NA,NA,NA,NA
131,11/2/2016,1,First Aid and CPR for Students,Saint Joseph's School,Homewood,60430,Cook,2,30,2,20,8,0
132,11/2/2016,5,Hands-only Citizen CPR,Coleman Parent University,Chicago,60609,Cook,1,20,NA,20,NA,NA
133,11/3/2016,0.5,Home Alone,Streator Public Library,Streator,61364,La Salle,1,0,NA,NA,NA,NA
134,11/3/2016,1,Hands-only Citizen CPR,Hayes Park TAS Club,Chicago,60652,Cook,1,15,0,15,0,0
135,11/3/2016,1,Hands-only Citizen CPR,Roosevelt Junior High School,Riverdale,60827,Cook,3,42,0,42,0,0
136,11/5/2016,4,"Adult CPR, Pediatric CPR and Choking",Onward Neighborhood House-Belmont Cragin,Chicago,60639,Cook,1,18,2,13,3,0
137,11/5/2016,3,First Aid and CPR Certification,Sycamore Public Library,Sycamore,60178,DeKalb,1,13,8,3,2,NA
138,11/6/2016,1,Kid Firestopper,St. Peters Church,Chicago,60641,Cook,1,3,0,1,2,0
139,11/6/2016,1,Home Fire Preparedness,St. Peters Church,Chicago,60641,Cook,1,2,0,1,1,0
140,11/7/2016,0.75,FALP,Spencer Elementary,New Lenox,60451,WIll,1,70,NA,NA,NA,NA
141,11/8/2016,0.5,Scrubby Bears,Plainfield YMCA,Plainfield ,60544,Will,1,18,NA,NA,NA,NA
142,11/8/2016,0.75,FALP,Plainfield YMCA,Plainfield ,60544,Will,1,34,NA,NA,NA,NA
143,11/8/2016,1,Pillowcase Project,Plainfield YMCA,Plainfield ,60544,Will,1,29,NA,NA,NA,NA
144,11/8/2016,3.5,First Aid and CPR Certification,Rauner Center ,Chicago,60612,Cook,1,5,NA,NA,NA,NA
145,11/9/2016,1,Hands-only Citizen CPR,Roosevelt High School,Chicago,60625,Cook,1,70,0,35,25,10
146,11/9/2016,1,Hands-only Citizen CPR,Roosevelt Junior High School,Riverdale,60827,Cook,4,73,0,60,13,0
147,11/9/2016,4,First Aid and CPR Certification,AmeriCorps Safe Families,Chicago,60612,Cook,1,1,0,0,1,0
148,11/9/2016,0.833333333,First Aid and CPR Certification,Theodore Roosevelt High School ,Chicago,60625,Cook,1,30,NA,NA,NA,NA
149,11/10/2016,0.5,Scrubby Bears,Noel LeVasseur Elementary School,Bourbonnais,60914,Kankakee,3,75,60,5,10,0
150,11/10/2016,1,Masters of Disaster,Roosevelt Junior High School,Riverdale,60827,Cook,3,42,0,42,0,0
151,11/10/2016,4,First Aid and CPR Certification,Saint Daniel the Prophet Church ,Chicago ,60638,Cook,1,18,15,0,3,0
152,11/10/2016,1,FALP,Dunne Technology Academy,Chicago,60628,Cook,1,33,5,23,5,0
153,11/10/2016,0.5,Home Fire Preparedness,Dunne Technology Academy,Chicago,60628,Cook,1,38,4,29,4,0
154,11/10/2016,0.5,Kid Firestopper,Dunne Technology Academy,Chicago,60628,Cook,1,42,7,28,7,0
155,11/10/2016,1,Pillowcase Project,Erie Elementary Charter School,Chicago,60622,Cook,1,26,3,2,21,0
156,11/10/2016,1.5,Pillowcase Project,Erie Elementary Charter School,Chicago,60622,Cook,1,24,NA,NA,NA,NA
157,11/10/2016,0.5,Hands-only Citizen CPR,James Russell Lowell,Chicago,60651,Cook,1,21,NA,NA,NA,NA
158,11/10/2016,0.5,Hands-only Citizen CPR,West Park Academy ,Chicago,60651,Cook,1,31,NA,NA,NA,NA
159,11/11/2016,5,First Aid and CPR Certification,Bezazian Library ,Chicago,60640,Cook,1,7,1,2,0,4
160,11/12/2016,0.5,Home Alone,Peotone Public Library,Peotone,60468,Will,1,18,NA,NA,NA,NA
161,11/12/2016,0.5,Kid Firestopper,Peotone Public Library,Peotone,60468,Will,1,18,NA,NA,NA,NA
162,11/12/2016,5,AmeriCorps Presentation,Girl Scouts,Niles,60714,Cook,1,33,NA,NA,NA,NA
163,11/12/2016,1,FALP,Girl Scouts,Niles,60714,Cook,1,33,25,NA,NA,8
164,11/12/2016,4,First Aid and CPR Certification,Uplift Community High School ,Chicago,60640,Cook,1,6,0,3,2,1
165,11/12/2016,4,First Aid and CPR Certification,Uplift Community High School ,Chicago,60640,Cook,1,1,0,1,0,0
166,11/12/2016,2,First Aid and CPR for Students,St. John Brebeuf School,Chicago,60714,Cook,1,12,12,0,0,0
167,11/13/2016,1,Pillowcase Project,St. Peters United Church,Chicago,60639,Cook,1,4,1,2,1,0
168,11/14/2016,0.5,Scrubby Bears,Plainfield YMCA,Plainfield ,60544,Will,1,17,NA,NA,NA,NA
169,11/14/2016,0.75,FALP,Tyler Elementary School,New Lenox,60451,Will,1,40,NA,NA,NA,NA
170,11/14/2016,2,Hands-only Citizen CPR,Hanson Park Elementary,Chicago,60639,Cook,2,27,0,0,27,0
171,11/15/2016,0.5,FALP,Whittier Elementary School,Blue Island,60406,Cook,3,150,25,25,100,0
172,11/15/2016,0.5,FALP,Paul Revere Intermediate School,Blue Island,60406,Cook,4,120,20,30,70,0
173,11/15/2016,1,Kid Firestopper,Coolidge Elementary School,Lansing,60438,Cook,1,10,2,7,1,0
174,11/15/2016,0.75,Home Fire Preparedness,Dunne Technology Academy,Chicago,60628,Cook,2,75,4,53,18,0
175,11/15/2016,1,FALP,Dunne Technology Academy,Chicago,60628,Cook,1,55,5,42,8,0
176,11/15/2016,0.5,Masters of Disaster,Waters Elementary School,Chicago,60625,Cook,6,163,NA,NA,NA,NA
177,11/15/2016,3.5,First Aid and CPR Certification, Covenant Presbyterian Church ,Chicago ,60647,Cook,1,6,NA,NA,NA,NA
178,11/16/2016,0.5,Kid Firestopper,Whittier Elementary School,Blue Island,60406,Cook,4,200,25,75,100,0
179,11/16/2016,0.5,FALP,Paul Revere Intermediate School,Blue Island,60406,Cook,4,120,20,50,50,0
180,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,30,2,0,28,NA
181,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,25,4,1,20,NA
182,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,28,3,0,25,NA
183,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,25,3,1,21,NA
184,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,32,2,0,30,NA
185,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,18,1,2,15,NA
186,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,12,1,0,11,NA
187,11/16/2016,0.5,Hands-only Citizen CPR,Waldo Middle School,Aurora,60505,Kane,1,20,3,1,16,NA
188,11/17/2016,1,FALP,Girl Scout Troop,McHenry,60050,McHenry,1,12,12,0,0,0
189,11/17/2016,1,First Aid and CPR for Students,Roosevelt Junior High School,Riverdale,60827,Cook,3,43,0,43,0,0
190,11/17/2016,4,First Aid and CPR Certification,Carver Military Academy High School,Riverdale,60827,Cook,1,26,4,10,12,0
191,11/17/2016,0.75,Home Alone,Warren Park Elementary School,Chicago,60804,Cook,6,130,NA,NA,NA,NA
192,11/17/2016,0.5,Masters of Disaster,West Park Academy ,Chicago,60651,Cook,1,31,NA,NA,NA,NA
193,11/18/2016,2,First Aid and CPR Certification,HAYS PARK TAS CLUB,Chicago,60652,Cook,1,4,0,4,0,0
194,11/18/2016,1,Kid Firestopper,Oak Park Montessori,Chicago,60130,Cook,1,15,5,NA,5,5
195,11/18/2016,1,First Aid and CPR for Students,Roosevelt Junior High School,Riverdale,60827,Cook,8,73,0,73,0,0
196,11/18/2016,1.5,CSD - Other,Parent Univerity,Chicago,60628,Cook,1,3,0,3,0,0
197,11/18/2016,0.5,Kid Firestopper,Warrenville Fire Department,Warrenville,60555,DuPage,1,10,0,2,8,0
198,11/18/2016,0.5,Scrubby Bears,Warrenville Fire Department,Warrenville,60555,DuPage,1,10,0,2,8,0
199,11/18/2016,0.75,Home Alone,Warren Park Elementary School,Chicago,60804,Cook,5,115,NA,NA,NA,NA
200,11/18/2016,1,Hands-only Citizen CPR,Daley College Student Veterans,Chicago,60652,Cook,1,12,2,4,6,NA
201,11/18/2016,1,First Aid and CPR for Students,Roosevelt Junior High School ,Chicago ,60827,Cook,1,73,NA,NA,NA,NA
202,11/19/2016,0.5,Hands-only Citizen CPR,"Sigma Gamma Rho Sorority, Inc. Collegiate Ambassadors",Lisle,60532,Cook,1,15,0,14,1,0
203,11/21/2016,0.5,Kid Firestopper,Plainfield YMCA,Plainfield ,60544,Will,1,18,NA,NA,NA,NA
204,11/21/2016,0.5,Kid Firestopper,Plainfield YMCA,Plainfield ,60544,Will,1,43,NA,NA,NA,NA
205,11/21/2016,1,First Aid and CPR for Students,James Madison Elementary School,Chicago,60619,Cook,2,45,1,31,14,0
206,11/21/2016,1,FALP,James Madison Elementary School,Chicago,60629,Cook,2,44,0,28,16,0
207,11/21/2016,1,Scrubby Bears,James Russell Lowell,Chicago ,60651,Cook,1,34,NA,NA,NA,NA
208,11/22/2016,1,First Aid and CPR for Students,James Madison Elementary School,Chicago,60629,Cook,2,43,0,35,8,0
209,11/22/2016,1,FALP,James Madison Elementary School,Chicago,60629,Cook,2,50,1,39,11,0
210,11/23/2016,1,Hands-only Citizen CPR,Chicago Police Dep District ,Chicago,60623,Cook,1,13,NA,NA,NA,NA
211,11/28/2016,4,Be Red Cross Ready,Roosevelt Jumior High,Riverdale,60827,Cook,4,150,NA,150,NA,NA
212,11/28/2016,1,Masters of Disaster,Roosevelt Junior High School,Riverdale,60827,Cook,4,50,0,50,0,0
213,11/28/2016,2,First Aid and CPR Certification,Jen Care Neighborhood Medical Center,Chicago,60652,Cook,1,4,0,4,0,0
214,11/28/2016,4,CSD - Other,Hanson Park Elementary School ,Chicago,60639,Cook,2,11,NA,NA,NA,NA
215,11/28/2016,1,Masters of Disaster,Roosevelt Junior High School,Riverdale,60827,Cook,4,50,0,50,0,0
216,11/28/2016,0.75,Kid Firestopper,Charles Henderson Elementary School,Chicago,60636,Cook,2,37,5,20,10,2
217,11/28/2016,4,CSD - Adult/Parents,Hanson Park Elementary,Chicago,60639,Cook,2,9,0,0,21,0
218,11/29/2016,3,First Aid and CPR Certification,Chicago Heights Library,Chicago Heights,60411,Cook,1,12,3,6,3,NA
219,11/29/2016,3,Hands-only Citizen CPR,CBS Cares Event,Chicago,60652,Cook,3,25,0,15,0,10
220,11/29/2016,1.5,Pillowcase Project,Morrill School,Chicago,60629,Cook,1,23,0,14,9,0
221,11/29/2016,0.5,Scrubby Bears,Waters Elementary School,Chicago,60625,Cook,6,163,NA,NA,NA,NA
222,11/29/2016,3,First Aid and CPR Certification,Washington Irving ,Chicago,60612,Cook,1,6,NA,NA,NA,NA
223,11/30/2016,0.5,Hands-only Citizen CPR,Roosevelt High School,Chicago,60625,Cook,5,200,10,150,25,25
224,11/30/2016,4,First Aid and CPR Certification,AmeriCorps Safe Families,Chicago,60612,Cook,1,1,0,1,0,0
225,11/30/2016,0.5,Fire Prevention Workshop,Waldo Middle School,Aurora,60505,Kane,1,20,3,NA,17,NA
226,12/1/2016,1,First Aid and CPR for Students,Piccolo Elementary Specialty School,Chicago,60651,Cook,1,28,4,10,10,4
227,12/1/2016,1,Kid Firestopper,West Park Academy ,Chicago,60651,Cook,1,31,NA,NA,NA,NA
228,12/2/2016,1,Hands-only Citizen CPR,Roosevelt Junior High School,Riverdale,60827,Cook,2,40,0,40,0,0
229,12/2/2016,1,FALP,Girl Scout Troop 20958/20122,Chicago,60638,Cook,1,15,10,0,5,0
230,12/2/2016,1,Pillowcase Project,Girl Scout Troop 20958/20122,Chicago,60638,Cook,1,15,10,0,5,0
231,12/2/2016,1.5,Pillowcase Project,Morrill School,Chicago,60629,Cook,1,21,2,14,5,0
232,12/3/2016,4,First Aid and CPR Certification,Urban Prepatory Bronzeville,Chicago,60616,Cook,1,NA,NA,NA,NA,NA
233,12/5/2016,1,Home Alone,Spencer Elementary School,New Lenox,60451,Will,1,50,35,2,5,6
234,12/5/2016,1,Home Alone,Piccolo Elementary Specialty School,Chicago,60651,Cook,1,25,5,10,10,NA
235,12/5/2016,1.5,Pillowcase Project, Charles Henderson Elmentary School,Chicago,60636,Cook,2,31,2,21,8,0
236,12/6/2016,1,Home Alone,Nelson Elementary School,New Lenox,60451,Will,1,40,NA,NA,NA,NA
