case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
11,1/3/2014,14-0543,fire,NA,1-1F76OH,closed,1945 N LATROBE,CHICAGO,IL,60639,Cook,41.9165474,-87.7576847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1/3/2014,14-0544,fire,NA,1-1F76ON,closed,2123 TENNESSEE,GARY,IL,46407,Lake,41.579702,-87.322074,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
13,1/3/2014,14-0545,fire,NA,1-1F76PB,closed,1100 N LAKESHORE DRIVE,CHICAGO,IL,60611,Cook,41.902686,-87.625161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1/3/2014,14-0546,fire,NA,1-1F76PH,closed,7961 KNOTTINGHAM CR,DARIEN,IL,60561,DuPage,41.7430357,-87.9850426,NA,NA,NA,NA,NA,NA,NA,NA,9,0,4,NA,NA,NA,NA,NA,NA
15,1/3/2014,14-0547,fire,NA,1-1F76RP,closed,9075 E 7000 RD N,GRANT PARK,IL,60940,Kankakee,41.2223511,-87.7009819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1/3/2014,14-0548,fire,NA,1-1F76RV,closed,936 E 47TH ST,CHICAGO,IL,60653,Cook,41.809863,-87.602319,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,NA,NA,NA,NA,NA,NA
17,1/4/2014,14-0549,fire,NA,1-1F7BQV,closed,950 W 58th St,CHICAGO,IL,60621,Cook,41.7888044,-87.6490205,NA,NA,NA,NA,NA,NA,NA,NA,13,0,2,NA,NA,NA,NA,NA,NA
18,1/5/2014,14-0550,fire,NA,1-1F7B9N,closed,828 North 3rd Avenue,St. Charles,IL,63301,Kane,41.9209302,-88.3120916,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA
19,1/5/2014,14-0551,fire,NA,1-1F9PUB,closed,11314 S Lowe Ave,CHICAGO,IL,60628,Cook,41.688235,-87.638957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1/5/2014,14-0552,fire,NA,1-1F7G3J,closed,309 DELLWOOD AVE,LOCKPORT,IL,60441,Will,41.562561,-88.062608,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,NA,NA,NA,NA,NA,NA
21,1/5/2014,14-0553,fire,NA,1-1F7G47,closed,2757 S Keeler Ave.,CHICAGO,IL,60623,Cook,41.840639,-87.728952,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA
22,1/7/2014,14-0554,fire,NA,1-1F9PUH,closed,8492 W 4000N Rd,BONFIELD,IL,60913,Kankakee,41.175731,-88.039962,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
23,1/5/2014,14-0555,fire,NA,1-1F7IGB,closed,5420 S JUSTINE ST,CHICAGO,IL,60609,Cook,41.79519,-87.663738,NA,NA,NA,NA,NA,NA,NA,NA,8,0,2,NA,NA,NA,NA,NA,NA
24,1/8/2014,14-0556,fire,NA,1-1FA6JL,closed,644 SIBLEY ST,HAMMOND,IN,46320,Lake,41.6155479,-87.512115,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
25,1/6/2014,14-0557,fire,NA,1-1F7G28,closed,836 N CICERO AVE,CHICAGO,IL,60651,Cook,41.896182,-87.746181,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
26,1/6/2014,14-0558,fire,NA,1-1F820P,closed,5230 S LOWE AVE,CHICAGO,IL,60609,Cook,41.798879,-87.641976,NA,NA,NA,NA,NA,NA,NA,NA,9,0,3,NA,NA,NA,NA,NA,NA
27,1/6/2014,14-0559,flood,NA,1-1F820V,closed,21724 CAROL AVE,SAUK VILLAGE,IL,60411,Cook,41.4925939,-87.575312,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
28,1/7/2014,14-0560,fire,NA,1-1F94VH,closed,1405 N ARTHUR BURCH DR,BOURBONNAIS,IL,60914,Kankakee,41.1677799,-87.8539959,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
29,1/7/2014,14-0561,fire,NA,1-1F84AN,closed,8308 S JUSTINE,CHICAGO,IL,60620,Cook,41.7427794,-87.6616465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1/7/2014,14-0562,fire,NA,1-1F84AT,closed,421 S TANNER,KANKAKEE,IL,60901,Kankakee,41.117061,-87.890238,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
31,1/7/2014,14-0563,fire,NA,1-1F94W7,closed,3141 W 139TH PL,ROBBINS,IL,60472,Cook,41.639352,-87.698367,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,NA,NA,NA,NA,NA,NA
32,1/7/2014,14-0564,fire,NA,1-1FA9Z1,closed,455 E 60TH ST,CHICAGO,IL,60637,Cook,41.7857073,-87.6136231,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
33,1/7/2014,14-0565,fire,NA,1-1FA9ZZ,closed,8245 W BELMONT AVE,RIVER GROVE,IL,60634,Cook,41.9376186,-87.8319619,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
34,1/8/2014,14-0566,fire,NA,1-1F95PL,closed,5820 N SHERIDAN ROAD,CHICAGO,IL,60660,Cook,41.9880489,-87.655737,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
35,1/7/2014,14-0567,fire,NA,1-1FAA1I,closed,1073 W POLK ST,CHICAGO,IL,60607,Cook,41.8715881,-87.6539444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1/7/2014,14-0568,fire,NA,1-1FAA1O,closed,1793 MCCORMICK LN,HANOVER PARK,IL,60133,DuPage,41.95674,-88.150068,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
37,1/8/2014,14-0569,fire,NA,1-1FAA2D,closed,319 W WEBSTER AVE,CHICAGO,IL,60614,Cook,41.92175,-87.637224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1/8/2014,14-0570,fire,NA,1-1FAA2J,closed,1216 CHIPPEWA  STREET,JOLIET,IL,60433,Will,41.5020307,-88.0603516,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
39,1/8/2014,14-0571,fire,NA,1-1FAA39,closed,8643 S HOUSTON,CHICAGO,IL,60617,Cook,41.737926,-87.549852,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
40,1/8/2014,14-0572,fire,NA,1-1FAA3T,closed,12210 W JOLIET ROAD,MANHATTAN,IL,60442,Will,41.354254,-87.906912,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
41,1/8/2014,14-0573,fire,NA,1-1FAA4H,closed,300 N WILLOW PIKE ROAD,AROMA PARK,IL,NA,Kankakee,41.0797548,-87.8114285,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
42,1/8/2014,14-0574,fire,NA,1-1FACOY,closed,7944 S. MOZART,CHICAGO,IL,60652,Cook,41.748501,-87.694153,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
43,1/9/2014,14-0575,fire,NA,1-1F978L,closed,4959 S HOYNE,CHICAGO,IL,60609,Cook,41.803146,-87.676636,NA,NA,NA,NA,NA,NA,NA,NA,17,0,5,NA,NA,NA,NA,NA,NA
44,1/9/2014,14-0576,fire,NA,1-1F961Z,closed,4835 W QUINCY,CHICAGO,IL,60644,Cook,41.877417,-87.746615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1/9/2014,14-0577,fire,NA,1-1FAHXP,closed,3355 W HURON ST,CHICAGO,IL,60624,Cook,41.893552,-87.711015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1/9/2014,14-0578,fire,NA,1-1FACL7,closed,5711 S CALUMET AVE,CHICAGO,IL,60637,Cook,41.790798,-87.6172418,NA,NA,NA,NA,NA,NA,NA,NA,25,0,7,NA,NA,NA,NA,NA,NA
47,1/9/2014,14-0579,fire,NA,1-1FACPN,closed,1640 N LARAMIE,CHICAGO,IL,60639,Cook,41.910789,-87.756052,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,NA,NA,NA,NA,NA,NA
48,1/9/2014,14-0580,fire,NA,NA,closed,2628 N MULLIGAN,CHICAGO,IL,60639,Cook,41.92826,-87.7847199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1/9/2014,14-0581,fire,NA,1-1FAHXV,closed,3656 W GEORGE ST,CHICAGO,IL,60618,Cook,41.933981,-87.719426,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
50,1/9/2014,14-0582,fire,NA,NA,closed,12127 S MILLARD,ALSIP,IL,60803,Cook,41.6718178,-87.7104727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1/9/2014,14-0583,fire,NA,1-1FAHYB,closed,20 KINGERY QUARTER,BURR RIDGE,IL,60527,DuPage,41.7198791,-87.9526396,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
52,1/9/2014,14-0584,fire,NA,NA,closed,1336 S TRIPP,CHICAGO,IL,60623,Cook,41.863169,-87.731546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1/10/2014,14-0585,fire,NA,NA,closed,5848 W MIDWAY PARK,CHICAGO,IL,60644,Cook,41.889316,-87.7718359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1/10/2014,14-0586,fire,NA,NA,closed,1030 N. LOREL AVENUE,CHICAGO,IL,60651,Cook,41.899518,-87.759834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1/10/2014,14-0587,fire,NA,1-1FB42F,closed,6037 W. 29TH PLACE,GARY,IN,46406,Lake,41.565149,-87.411027,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
56,1/10/2014,14-0588,fire,NA,NA,closed,36 VEE DRIVE,MANTENO,IL,60950,Kankakee,41.2667221,-87.8381278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1/10/2014,14-0589,fire,NA,1-1FAHYH,closed,5927 S THROOP ST,CHICAGO,IL,60636,Cook,41.7860393,-87.6570625,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
58,1/10/2014,14-0590,fire,NA,1-1FAHYX,closed,126 E 119TH PL,CHICAGO,IL,60628,Cook,41.6774259,-87.619331,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
59,1/11/2014,14-0591,fire,NA,1-1FAHZD,closed,2330 S KEDZIE AVE,CHICAGO,IL,60623,Cook,41.848994,-87.705507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1/11/2014,14-0592,fire,NA,NA,closed,2341 N LISTER AVE,CHICAGO,IL,60614,Cook,41.923621,-87.676802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1/11/2014,14-0593,fire,NA,1-1FAHZV,closed,5841 W 245TH AVE,"LOWELL, IN",IN,46356,Lake,41.171776,-87.40454,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
62,1/11/2014,14-0594,fire,NA,1-1FAHZJ,closed,9335 S LAFLIN ST,CHICAGO,IL,60620,Cook,41.7238619,-87.65995,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
63,1/12/2014,14-0595,fire,NA,NA,closed,3307 W 135TH ST,ROBBINS,IL,60472,Cook,41.647485,-87.702073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1/12/2014,14-0596,fire,NA,1-1FAHZP,closed,3308 W ELM ST,MCHENRY,IL,60050,McHenry,42.344741,-88.262096,NA,NA,NA,NA,NA,NA,NA,NA,30,0,19,NA,NA,NA,NA,NA,NA
65,1/12/2014,14-0597,fire,NA,NA,closed,2512 N DRAKE AVE,CHICAGO,IL,60647,Cook,41.926881,-87.716183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1/12/2014,14-0598,fire,NA,1-1FAIRZ,closed,13233 E 2500 SOUTH ROAD,PEMBROKE TWNSHP,IL,60954,Kankakee,41.089824,-87.615934,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
67,1/13/2014,14-0599,fire,NA,1-1FAJ4R,closed,13028 S KING DR,CHICAGO,IL,60827,Cook,41.6583964,-87.6130632,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
68,1/13/2014,14-0600,fire,NA,NA,closed,724 E. 92ND STREET,CHICAGO,IL,60619,Cook,41.727778,-87.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1/14/2014,14-0601,fire,NA,1-1FBOCX,closed,8849 S INDIANA,CHICAGO,IL,60619,Cook,41.733184,-87.618809,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
70,1/14/2014,14-0602,fire,NA,1-1FBODL,closed,7838 S LANGLEY,CHICAGO,IL,60619,Cook,41.751903,-87.608015,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
71,1/14/2014,14-0603,fire,NA,1-1FBOE7,closed,2425 ARTHUR,GARY,IN,46404,Lake,41.574741,-87.3598829,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
72,1/14/2014,14-0604,fire,NA,1-1FBOET,closed,200 SCHUYLER AVE,BRADLEY,IL,60915,Kankakee,41.1427054,-87.8596094,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
73,1/14/2014,14-0605,fire,NA,NA,closed,1600 S PULASKI RD,CHICAGO,IL,60623,Cook,41.858734,-87.725246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1/14/2014,14-0606,fire,NA,1-1FBOEZ,closed,5031 TOD AVE,"EAST CHICAGO, IN",IN,46312,Lake,41.621905,-87.477578,NA,NA,NA,NA,NA,NA,NA,NA,7,0,3,NA,NA,NA,NA,NA,NA
75,1/15/2014,14-0607,fire,hot,NA,closed,3443 N HAMLIN AVE,CHICAGO,IL,60618,Cook,41.9440786,-87.7224161,"Two-story brick apartment building, fire started on second floor, which was destroyed. Occupants have renters' insurance and employers providing assistance for living. No ARC assistance provided. 

Landlord information: Luxy Property 312-884-1005

Dispatcher: Hallie Burhoe
",0,2,1,0,0,0,0,3,0,3,NA,1/15/2014 18:10,1/15/2014 18:15,1/15/2014 19:09,1/15/2014 20:02,1/15/2014 20:22
76,1/15/2014,14-0608,fire,hot,1-1FCFKR,closed,855 S MYRTLE AVE,KANKAKEE,IL,60901,Kankakee,41.109377,-87.853536,"Dispatch notified by Kankakee Fire Dispatch of fire in wood-frame single family home. Fire contained to back of home, with kitchen sustaining major fire damage. Smoke damage to the rest of the home, and utilities off. 

Dispatcher: Eddie Jaramillo",0,0,1,0,0,0,0,1,0,1,NA,1/15/2014 22:45,1/15/2014 22:50,1/15/2014 22:55,1/15/2014 23:48,1/16/2014 0:47
77,1/16/2014,14-0609,fire,hot,1-1FCFJZ,closed,1106 West 51st Street,Chicago,IL,60609,Cook,41.801729,-87.652998,"Health Services follow-up requested.
Mental Health follow-up requested.",0,1,0,0,0,0,0,6,0,1,1162,1/16/2014 14:35,1/16/2014 14:45,1/16/2014 15:30,1/16/2014 16:00,1/16/2014 16:55
78,1/16/2014,14-0610,fire,hot,NA,closed,11620 South Yale Avenue,Chicago,IL,60628,Cook,41.6827479,-87.629149,"INCIDENT IS AWAITING CLOSURE (Getting error message).

Fire started at 10:45 AM in 1 1/2-story wood frame SFH. Clients declined services. See 'Case' for damage assessment.",0,1,0,0,0,0,0,4,0,1,NA,1/16/2014 17:24,1/16/2014 17:25,1/16/2014 17:30,1/16/2014 17:42,1/16/2014 18:08
79,1/16/2014,14-0611,fire,cold,NA,closed,2241 U.S. 41,Morocco,IN,47963,Newton,40.966259,-87.448839,Responder Jim Aldridge missing from database. Made note on timeline.,1,0,0,0,0,0,0,2,3,1,1125,1/16/2014 20:00,NA,1/17/2014 15:33,1/17/2014 18:01,1/17/2014 19:50
80,1/16/2014,14-0612,fire,hot,NA,closed,8019 South Union Avenue,Chicago,IL,60620,Cook,41.74821,-87.640808,Incident notes updated for client not qualifying for services.,0,0,1,0,0,0,0,1,2,1,NA,1/17/2014 3:19,NA,1/17/2014 3:30,1/17/2014 4:05,1/17/2014 4:35
81,1/17/2014,14-0615,fire,hot,1-1FD38V,closed,5742 West 24th Street,Cicero,IL,60804,Cook,41.847539,-87.768316,"Fire occurred in a 2 1/2-story, brick SFH.",0,1,0,0,0,0,0,6,1,1,1905,1/17/2014 20:40,NA,1/17/2014 21:28,1/17/2014 23:05,1/18/2014 0:54
82,1/17/2014,14-0616,fire,cold,1-1FD39L,closed,6212 Cermak Road,Berwyn,IL,60402,Cook,41.8510814,-87.7792772,"INCIDENT IS AWAITING CLOSURE (Getting error message).

Health Services requested.

Fire occurred in the early morning of January 16th in a 2-story, brick, mixed-used building (Commercial on ground floor). Both floors destroyed.",1,0,0,0,2,2,0,2,0,1,655,1/16/2014 11:10,1/17/2014 9:40,1/17/2014 21:45,1/18/2014 1:37,1/18/2014 2:30
83,1/18/2014,14-0618,fire,hot,1-1FD3AB,closed,640 North Laramie Avenue,Chicago,IL,60644,Cook,41.892432,-87.755859,"2 1/2 Story multi-family home. Basement, and 1st floor occupied. 2nd floor vacant. Roof destroyed due to fire, ceiling of second floor falling into first, basement has 1/2 ft of water. Utilities turned off. Landlord Irene Jefferson 773-542-5459.

A woman by the name of Denique Dowdell (773-715-7907) has called requesting assistance but was evicted from the property and therefore does not qualify for ARC assistance. Referrals for shelter, housing and clothing was given.",1,1,1,0,0,0,0,5,6,0,2130,1/18/2014 12:03,NA,1/18/2014 12:20,1/18/2014 12:54,1/18/2014 15:29
84,1/18/2014,14-0619,fire,hot,1-1FD1P9,closed,935 North Parkside Avenue,Chicago,IL,60651,Cook,41.897712,-87.766345,APT,0,0,1,0,0,0,0,4,1,1,365,1/18/2014 16:14,1/18/2014 16:14,1/18/2014 16:20,1/18/2014 17:23,1/18/2014 19:04
85,1/18/2014,14-0620,fire,hot,1-1FD1Q5,closed,7524 South Grant Highway,Marengo,IL,60152,McHenry,42.218855,-88.565487,"Health Services Martine Rousseau (630-679-0781) contacted.

The fire occurred in a one-story, wooden SFH. This fire affected a family of 4 and another visiting family of 4 that were staying with them. Both families qualified for ARC assistance and the visiting family was given assistance for shelter for one night.

1/19/2014 CF nurse to add $155.14 onto client's CAC card. Added $156 onto card. NAH.
",0,1,0,0,0,0,0,4,4,2,1341,1/18/2014 18:06,NA,1/18/2014 18:51,1/18/2014 19:44,1/18/2014 22:50
86,1/18/2014,14-0621,fire,hot,1-1FD1RD,closed,148 West 107th Street,Chicago,IL,60628,Cook,41.6998309,-87.6274639,"2-story brick building with retail stores on the first floor and apartments on the second. Fire started in a downstairs furniture store.

Landlord information:
Adnan Nassan 708-473-7233

Client Shanita Oxford was absent during time of fire but qualifies for ARC assistance.",0,0,1,0,0,0,0,8,7,4,1550,1/19/2014 0:31,1/19/2014 1:13,1/19/2014 1:00,1/19/2014 2:28,1/19/2014 3:55
87,1/18/2014,14-0622,fire,cold,1-1FDG1V,closed,1223 West Roscoe Street,Chicago,IL,60657,Cook,41.943211,-87.660067,"Residential fire in Chicago: Responders should have been dispatched to this incident.

Landlord - James McKimon - 773-269-6731",2,0,0,0,0,0,0,3,0,2,455,1/19/2014 1:37,1/20/2014 15:04,1/20/2014 15:03,1/20/2014 17:05,1/20/2014 18:05
88,1/19/2014,14-0623,fire,hot,NA,closed,4710 North Albany Avenue,Chicago,IL,60625,Cook,41.967058,-87.706323,"Steve states no one around, appears a minor fire on 2nd fl, windows open to air out, power on, minimal damage",0,0,0,0,0,0,0,0,0,0,NA,1/19/2014 6:26,NA,1/19/2014 6:50,1/19/2014 7:55,1/19/2014 8:35
